,0,1,2,3,4,5,6,7,8,9,10,11
5082,1674055800000,21432.14000000,21434.46000000,21370.02000000,21380.86000000,1641.99037000,1674056099999,35128088.87649560,34398,717.24456000,15344343.85239260,0
5083,1674056100000,21379.72000000,21388.00000000,21297.56000000,21337.46000000,2566.31800000,1674056399999,54760672.87017620,44390,1033.26328000,22049397.12563200,0
5084,1674056400000,21338.44000000,21361.37000000,21273.00000000,21289.01000000,2229.01730000,1674056699999,47522604.07470360,42634,996.20263000,21245067.60008650,0
5085,1674056700000,21289.01000000,21319.89000000,21200.00000000,21216.54000000,3422.56161000,1674056999999,72736563.39936300,57666,1593.59340000,33869435.24275990,0
5086,1674057000000,21216.54000000,21220.00000000,20850.00000000,20866.32000000,8936.26088000,1674057299999,188327443.98304000,125241,4058.70393000,85535591.50358540,0
5087,1674057300000,20866.32000000,21068.23000000,20842.00000000,21042.73000000,6831.62685000,1674057599999,143289254.53021450,97450,3473.41657000,72865660.08421310,0
5088,1674057600000,21042.73000000,21042.73000000,20873.84000000,20912.97000000,4863.77426000,1674057899999,101883259.11129170,82024,2409.87188000,50479747.14234280,0
5089,1674057900000,20912.97000000,20953.51000000,20793.00000000,20920.32000000,4623.30224000,1674058199999,96587754.18438140,73837,2391.81589000,49976095.57500590,0
5090,1674058200000,20920.32000000,20926.00000000,20803.91000000,20878.93000000,4175.80028000,1674058499999,87129895.49622850,69414,2103.42387000,43891938.43606520,0
5091,1674058500000,20878.93000000,20918.48000000,20823.62000000,20843.46000000,2996.89393000,1674058799999,62540033.44292360,54842,1529.45273000,31919271.38628380,0
5092,1674058800000,20841.60000000,20845.33000000,20515.77000000,20676.92000000,9722.63487000,1674059099999,201057296.01870700,133667,4427.29609000,91557310.94887540,0
5093,1674059100000,20676.92000000,20768.23000000,20651.46000000,20670.72000000,2351.55758000,1674059399999,48694282.78004300,56928,1201.41218000,24878121.50399840,0
5094,1674059400000,20670.72000000,20737.68000000,20650.00000000,20667.08000000,2141.03906000,1674059699999,44323150.46061630,48058,1099.51610000,22764214.78802710,0
5095,1674059700000,20667.05000000,20709.99000000,20560.00000000,20594.55000000,2774.60198000,1674059999999,57205321.23460840,59001,1327.62575000,27373489.08696080,0
5096,1674060000000,20599.02000000,20667.19000000,20408.34000000,20490.95000000,3403.92465000,1674060299999,69967724.44636590,68222,1577.87659000,32450677.40667810,0
5097,1674060300000,20490.84000000,20563.30000000,20407.15000000,20556.02000000,3085.79862000,1674060599999,63262186.99314630,67425,1709.13586000,35042111.75486630,0
5098,1674060600000,20558.22000000,20636.01000000,20502.61000000,20614.98000000,2257.61131000,1674060899999,46419892.38750590,54660,1105.36849000,22731300.10996390,0
5099,1674060900000,20608.48000000,20928.09000000,20562.00000000,20845.47000000,4962.45238000,1674061199999,102843841.88228760,86866,2627.36848000,54458501.51862980,0
5100,1674061200000,20849.89000000,20995.53000000,20743.53000000,20845.05000000,7619.82843000,1674061499999,159021045.07451890,107753,3624.50634000,75651809.33971510,0
5101,1674061500000,20842.48000000,20980.00000000,20841.36000000,20973.23000000,5068.79659000,1674061799999,106058259.20148970,83606,2409.06907000,50410557.57576050,0
5102,1674061800000,20975.64000000,21105.80000000,20924.68000000,21084.29000000,5357.29173000,1674062099999,112610302.51175750,89219,2673.26279000,56195675.20063920,0
5103,1674062100000,21078.71000000,21136.80000000,20924.58000000,20937.53000000,4484.10454000,1674062399999,94223986.47106610,73973,2225.64132000,46772046.60231920,0
5104,1674062400000,20937.53000000,20959.28000000,20900.00000000,20919.81000000,2519.62911000,1674062699999,52738243.62881540,46235,1250.24130000,26171383.46484340,0
5105,1674062700000,20919.81000000,20936.51000000,20845.35000000,20922.85000000,3025.15500000,1674062999999,63202976.96443220,51928,1531.89765000,32006784.07949420,0
5106,1674063000000,20922.85000000,20956.53000000,20873.10000000,20902.87000000,2155.04649000,1674063299999,45052204.48526020,40148,1079.00803000,22559151.81568760,0
5107,1674063300000,20902.87000000,21030.76000000,20900.77000000,20955.49000000,2237.03568000,1674063599999,46919161.43995430,41027,1218.96972000,25564583.69480550,0
5108,1674063600000,20957.31000000,20974.93000000,20884.70000000,20912.18000000,1470.53624000,1674063899999,30783008.33072320,30256,702.70008000,14709769.05229670,0
5109,1674063900000,20910.41000000,20947.97000000,20875.53000000,20913.61000000,1315.59677000,1674064199999,27510961.49952120,28205,639.34939000,13371067.26625050,0
5110,1674064200000,20911.94000000,20945.86000000,20851.22000000,20866.80000000,1268.64827000,1674064499999,26512886.49060530,28172,581.33692000,12150266.68956410,0
5111,1674064500000,20866.81000000,20910.24000000,20853.96000000,20887.85000000,1009.37885000,1674064799999,21074878.68712480,23225,499.77803000,10435722.66296450,0
5112,1674064800000,20887.85000000,20918.25000000,20840.81000000,20903.86000000,1820.55983000,1674065099999,38021592.92519520,30875,842.86855000,17604317.04020460,0
5113,1674065100000,20902.28000000,20905.64000000,20846.00000000,20850.08000000,1049.52959000,1674065399999,21913711.67183930,23072,459.02026000,9584999.91867310,0
5114,1674065400000,20848.64000000,20912.08000000,20848.08000000,20911.52000000,1020.51351000,1674065699999,21309931.74591470,23279,570.33182000,11909766.32612150,0
